Tweets,Favorite,Retweets,Engagement,Sentiment,Tweet Length,Exclamations/Questions,Capital Letters,Passion
"Lengthy, but crucial read from @JudithLevine for the  movement. Closing paragraph is a banger.  ",1,0,1,0.0,96,0,6,6
"Voted #TIMEGotItRight on @TheTylt because I?m glad TIME chose  for Person of the Year 
",1,0,1,0.5,88,0,19,19
FOCUS: Al Franken and the Selective Force of  ,0,0,0,0.0,46,0,11,11
".@TomPerez @DNC  You say you?re against #sexualharassment  against women - now prove it: Who do you support in NLRB vs Murphy Oil ? Women?s right to organize against harassment, or corporations and employers right to suppress them? We?re waiting for an answer

",0,0,0,0.2857142857142857,263,2,17,19
"I don't believe for one second the news conglomerates were in the dark about inappropriate sexual behavior. Everyone knows who the dirty butts of the office are. Denying knowledge only perpetuates the seedy, good ol' boy culture.  @nbc @ABCNetwork @CBS @FoxNews @CNN",4,4,8,0.075,266,0,15,15
"I tripped on the street and a man helped me up, I was so scared wondering what he?ll do to me or weighed he was about to rape me ",2,1,3,0.0,129,0,4,4
 The Clothesline Project ,0,0,0,0.0,25,0,5,5
I waited 1 year for an appointment  from the time I was Brave enough to deal with a #Trauma  from the past to see a specialized #SA   counselor only to get cancelled  and rebooked more #SA #Trauma counsellors are needed   #bebrave #Speakup #Ibelieveyou,1,0,1,0.21,252,0,12,12
"I am a single mother, grandmother,   survivor, retired Social Security and Medicare recipient. I oppose every heartless,  racist , xenophobic , divisive thing @realDonaldTrump stands  for. #IAmTheResistance",8,4,12,-0.019047619047619046,206,0,13,13
"As a victim of sexual abuse myself, it is heartbreaking to know and live with the reality that the majority of the people who perpetuate abuse are never brought to justice. She has every right to be outraged about this. I have made it a point to never endorse Woody Allen.  ",0,0,0,-0.010584415584415608,274,0,7,7
"Except for rape victims, #NotHim more adequately explains the indignation of many in the  movement. @SenGillibrand @alfranken",0,0,0,0.4444444444444444,125,0,7,7
Newsflash  #worstpresident ever. Trump needs to be fired.   ,0,0,0,0.0,60,0,2,2
"#AnitaHill 
Black Woman with the Ovaries to SPEAK UP/STAND UP 
OG ",2,0,2,-0.16666666666666666,68,0,23,23
Gabrielle Union on : ?The floodgates have opened for white women? ,0,0,0,0.0,66,0,5,5
I was badly sexually harassed and assaulted in college by two different men. Thinking back what happened was atrocious. I felt shamed into not telling anyone and when I finally did I was turned away ,2,0,2,-0.04,199,0,10,10
The Daily Dharma is out!  #denturedonald ,0,0,0,0.0,41,1,3,4
I LOVE THIS. Such strong brave women ,0,0,0,0.43333333333333335,37,0,15,15
"#Hypocrite #FemiNazi crying about #Trump said #grabthembythepussy but laughing her  ass off about raped women in #Germany a. all over #Europe. The #AltLeft is really a #disgusting #disgrace to all human kind?
#LiberalismIsAMentalDisorder #MAGA #FeminismIsCancer #FCKyou?? ",5,3,8,-0.4,273,0,26,26
definitely ban all men till we figure out what's going on.  ,1,0,1,0.0,60,0,2,2
"Why isn't any one in the media bring out the stories of women alleging sexual misconduct by @realDonaldTrump. These stories were tarnished by campaign. But, now they might be more pertinent  stories. And may be it will make Americans realize who he really is!",1,1,2,0.4166666666666667,259,1,7,8
Voted #TIMEGotItRight on @TheTylt because I?m glad TIME chose  for Person of the Year  ,0,0,0,0.5,87,0,19,19
The latest Australia News Daily!  ,0,0,0,0.25,34,1,4,5
Yea Right.... and #CNN and #Democrats are the best thing in life.  Just another women claiming a   give us a break #maga @cnnbrk ,0,0,0,0.6428571428571428,129,0,9,9
"If you live in the New York area, please throat chop these fine people on my behalf...twice. Once for each boob.  ? ",0,0,0,0.2297979797979798,116,0,5,5
"Despite the #snowday, thank you #NewYork women for showing up at  rally.

Shamefully though, there's still THIS!

",5,5,10,0.0,118,1,10,11
The latest The Paul Lambert Daily!  Thanks to @holesinthefoam @deezer234 @PeterHase2017 #zvts ,1,1,2,0.2333333333333333,94,1,8,9
