TS,Year,Month,Incoming.Examinations,,Year,Cardiovascular Examinations,
1,2006,1,362,,2006,5699,    
2,2006,2,436,,2007,7456,
3,2006,3,468,,2008,13504,
4,2006,4,490,,2009,14873,
5,2006,5,508,,2010,21232,
6,2006,6,243,,2011,29638,
7,2006,7,393,,2012,41187,
8,2006,8,596,,2013,60832,
9,2006,9,634,,2014,78608,
10,2006,10,613,,,,
11,2006,11,545,,,,
12,2006,12,411,,,,
13,2007,1,398,,,,
14,2007,2,311,,,,
15,2007,3,664,,,,
16,2007,4,680,,,,
17,2007,5,472,,,,
18,2007,6,467,,,,
19,2007,7,566,,,,
20,2007,8,806,,,,
21,2007,9,732,,,,
22,2007,10,886,,,,
23,2007,11,776,,,,
24,2007,12,698,,,,
25,2008,1,875,,,,
26,2008,2,840,,,,
27,2008,3,724,,,,
28,2008,4,1115,,,,
29,2008,5,997,,,,
30,2008,6,775,,,,
31,2008,7,886,,,,
32,2008,8,1041,,,,
33,2008,9,1011,,,,
34,2008,10,3110,,,,
35,2008,11,939,,,,
36,2008,12,1191,,,,
37,2009,1,1004,,,,
38,2009,2,1065,,,,
39,2009,3,1263,,,,
40,2009,4,962,,,,
41,2009,5,1205,,,,
42,2009,6,1429,,,,
43,2009,7,1205,,,,
44,2009,8,890,,,,
45,2009,9,1320,,,,
46,2009,10,1276,,,,
47,2009,11,1757,,,,
48,2009,12,1497,,,,
49,2010,1,2022,,,,
50,2010,2,1610,,,,
51,2010,3,1578,,,,
52,2010,4,1604,,,,
53,2010,5,1758,,,,
54,2010,6,1694,,,,
55,2010,7,1457,,,,
56,2010,8,1607,,,,
57,2010,9,1808,,,,
58,2010,10,1866,,,,
59,2010,11,1934,,,,
60,2010,12,2294,,,,
61,2011,1,1871,,,,
62,2011,2,2334,,,,
63,2011,3,1973,,,,
64,2011,4,2262,,,,
65,2011,5,2259,,,,
66,2011,6,2217,,,,
67,2011,7,2739,,,,
68,2011,8,2772,,,,
69,2011,9,3383,,,,
70,2011,10,2869,,,,
71,2011,11,2239,,,,
72,2011,12,2720,,,,
73,2012,1,2789,,,,
74,2012,2,3455,,,,
75,2012,3,2940,,,,
76,2012,4,2968,,,,
77,2012,5,3466,,,,
78,2012,6,3037,,,,
79,2012,7,3946,,,,
80,2012,8,3459,,,,
81,2012,9,3446,,,,
82,2012,10,3258,,,,
83,2012,11,4729,,,,
84,2012,12,3694,,,,
85,2013,1,4610,,,,
86,2013,2,4841,,,,
87,2013,3,5172,,,,
88,2013,4,4351,,,,
89,2013,5,5220,,,,
90,2013,6,4735,,,,
91,2013,7,5016,,,,
92,2013,8,4978,,,,
93,2013,9,5008,,,,
94,2013,10,6094,,,,
95,2013,11,4874,,,,
96,2013,12,5933,,,,
97,2014,1,5481.824,,,,
98,2014,2,5674.46,,,,
99,2014,3,5691.563,,,,
100,2014,4,5756.524,,,,
101,2014,5,5808.437,,,,
102,2014,6,5863.907,,,,
103,2014,7,5918.408,,,,
104,2014,8,5973.173,,,,
105,2014,9,6027.865,,,,
106,2014,10,6082.578,,,,
107,2014,11,6137.285,,,,
108,2014,12,6191.994,,,,
